167,Time release ,Mellow; It will be ok ,1
168,Toe Load ,see: Cum barnacles ,1
169,Tor ,Tour *Tullyism ,1
170,Tor-na-ment ,Tournament *Tullyism ,1
171,Toss ,Has style especially when riding ,1
172,Tosser ,Wanker; douchebag ,1
173,Unappropriate ,Inappropriate *Wilsonism ,1
174,Val Killmore ,Val Kilmer ,1
175,Vetrinarian ,Veteran; occasionally Veterinarian ,1
176,Vicuriously ,Vicariously ,1
177,Weapondry ,Weaponry ,1
178,What are words? ,An expression of the pointlessness of a statement ,1
179,Whoop Whoop ,The middle of fucking nowhere ,1
180,Wobbly-gong ,Wobbegong (shark) ,1
181,Word ends with -ink ,Word actually ends with -ing ,1
182,Yabo ,One nearing white trash status ,1
183,You\'re Bobby Brown ,It\'s your prerogative ,1
184,Zima dick ,The most embarrassing form of limp dick known to mankind ,1
185,Zimbabwes ,Saggy, floppy breasts ,1
